entity_name,region,value,gender
Fiji,Oceania,928784,total
Finland,Europe,2777737,male
Finland,Europe,2842174,female
Finland,Europe,5619911,total
France,Europe,33232759,male
France,Europe,35318894,female
France,Europe,68551653,total
French Polynesia,Oceania,142530,male
French Polynesia,Oceania,139277,female
French Polynesia,Oceania,281807,total
Gabon,Africa,1288745,male
Gabon,Africa,1250207,female
Gabon,Africa,2538952,total
"Gambia, The",Africa,1374334,male
"Gambia, The",Africa,1385654,female
"Gambia, The",Africa,2759988,total
Georgia,Asia,1724496,male
Georgia,Asia,1975061,female
Georgia,Asia,3699557,total
Germany,Europe,41241620,male
Germany,Europe,42274973,female
Germany,Europe,83516593,total
Ghana,Africa,17194242,male
Ghana,Africa,17233172,female
Ghana,Africa,34427414,total
Gibraltar,Europe,19575,male
Gibraltar,Europe,19754,female
Gibraltar,Europe,39329,total
Greece,Europe,5040124,male
Greece,Europe,5365010,female
Greece,Europe,10405134,total
Greenland,Americas,29884,male
Greenland,Americas,26952,female
Greenland,Americas,56836,total
Grenada,Americas,58755,male
Grenada,Americas,58452,female
Grenada,Americas,117207,total
Guam,Oceania,84988,male
Guam,Oceania,82789,female
Guam,Oceania,167777,total
Guatemala,Americas,9129191,male
Guatemala,Americas,9277168,female
Guatemala,Americas,18406359,total
Guinea,Africa,7301267,male
Guinea,Africa,7453518,female
Guinea,Africa,14754785,total
Guinea-Bissau,Africa,1088010,male
Guinea-Bissau,Africa,1113342,female
Guinea-Bissau,Africa,2201352,total
Guyana,Americas,404584,male
Guyana,Americas,426503,female
Guyana,Americas,831087,total
Haiti,Americas,5825356,male
Haiti,Americas,5947201,female
Haiti,Americas,11772557,total
Honduras,Americas,5449967,male
Honduras,Americas,5375736,female
Honduras,Americas,10825703,total
"Hong Kong SAR, China",Asia,3389467,male
"Hong Kong SAR, China",Asia,4134633,female
"Hong Kong SAR, China",Asia,7524100,total
Hungary,Europe,4591499,male
Hungary,Europe,4970566,female
Hungary,Europe,9562065,total
Iceland,Europe,197910,male
Iceland,Europe,188596,female
Iceland,Europe,386506,total
India,Asia,748323427,male
India,Asia,702612364,female
India,Asia,1450935791,total
Indonesia,Asia,142407916,male
Indonesia,Asia,141080015,female
Indonesia,Asia,283487931,total
"Iran, Islamic Rep.",Asia,46532057,male
"Iran, Islamic Rep.",Asia,45035681,female
"Iran, Islamic Rep.",Asia,91567738,total
Iraq,Asia,23111081,male
Iraq,Asia,22930934,female
Iraq,Asia,46042015,total
Ireland,Europe,2671018,male
Ireland,Europe,2724772,female
Ireland,Europe,5395790,total
Isle of Man,Europe,41666,male
Isle of Man,Europe,42494,female
Isle of Man,Europe,84160,total
Israel,Asia,4966369,male
Israel,Asia,5008031,female
Israel,Asia,9974400,total
Italy,Europe,28813102,male
Italy,Europe,30139602,female
Italy,Europe,58952704,total
Jamaica,Americas,1403966,male
Jamaica,Americas,1435209,female
Jamaica,Americas,2839175,total
Japan,Asia,60480020,male
Japan,Asia,63495351,female
Japan,Asia,123975371,total
Jordan,Asia,5957377,male
Jordan,Asia,5595499,female
Jordan,Asia,11552876,total
Kazakhstan,Asia,10029906,male
Kazakhstan,Asia,10562665,female
Kazakhstan,Asia,20592571,total
Kenya,Africa,28056072,male
Kenya,Africa,28376872,female
Kenya,Africa,56432944,total
Kiribati,Oceania,65279,male
Kiribati,Oceania,69239,female
Kiribati,Oceania,134518,total
"Korea, Dem. People's Rep.",Asia,13108717,male
"Korea, Dem. People's Rep.",Asia,13390106,female
"Korea, Dem. People's Rep.",Asia,26498823,total
"Korea, Rep.",Asia,25830846,male
"Korea, Rep.",Asia,25920219,female
"Korea, Rep.",Asia,51751065,total
Kosovo,Europe,784197,male
Kosovo,Europe,810156,female
Kosovo,Europe,1594353,total
Kuwait,Asia,2992868,male
Kuwait,Asia,1904395,female
Kuwait,Asia,4897263,total
Kyrgyz Republic,Asia,3570063,male
Kyrgyz Republic,Asia,3651805,female
Kyrgyz Republic,Asia,7221868,total
Lao PDR,Asia,3904034,male
Lao PDR,Asia,3865785,female
Lao PDR,Asia,7769819,total
Latvia,Europe,865141,male
Latvia,Europe,1000983,female
Latvia,Europe,1866124,total
Lebanon,Asia,2823634,male
Lebanon,Asia,2982328,female
Lebanon,Asia,5805962,total
Lesotho,Africa,1138892,male
Lesotho,Africa,1198531,female
Lesotho,Africa,2337423,total
Liberia,Africa,2801892,male
Liberia,Africa,2810925,female
Liberia,Africa,5612817,total
Libya,Africa,3752970,male
Libya,Africa,3628053,female
